Probleem,Category,Link interventie,Soort interventie
"Mijn werknemer en ik hebben advies nodig wat er gebeurt
nadat mijn werknemer ziek uit dienst gaat.",Arbeidsvoorwaarden,https://www.evi360.nl/product/advies-gesprek-po-adviseur/,"Adviesgesprek P&O Adviseur 
(Bv. bij een vaststellings-overeenkomst of
ontslagaanvraag via UWV)"
Mijn werknemer voelt zich niet veilig op de werkvloer,Preventie,"https://vitaalondernemen.interventieaanvragen.nl/interventie/vertrouwenspersoon/ ",Inzet vertrouwenspersoon
Welke re-integratiemogelijkheden heeft mijn werknemer in zijn aangepaste eigen werk?,Arbeidsinhoud,"https://www.evi360.nl/product/vroegconsult-arbeidsdeskundige/ ",Vroegconsult Arbeidsdeskundige bv. gericht op aanpassingen eigen taken
Is mijn zieke  werknemer geschikt voor een concrete andere functie in mijn bedrijf die ik op het oog heb?,Arbeidsinhoud,"https://www.evi360.nl/product/vroegconsult-arbeidsdeskundige/ ",Vroegconsult Arbeidsdeskundige
Mijn werknemer heeft een ernstig conflict op het werk,Arbeidsverhoudingen,"https://www.evi360.nl/product/mediation/ ",Inzet van een mediator
Mijn werknemer moet re-integreren bij een andere werkgever,Arbeidsinhoud,https://www.evi360.nl/product/re-integratietraject-2e-of-3e-spoor/,Re-integratiebegeleiding naar een andere werkgever (2e of 3e spoor)
"Mijn werknemer heeft het emotioneel zwaar (ligt in scheiding, rouwverwerking etc.)",Sociale omstandigheden,"https://vitaalondernemen.interventieaanvragen.nl/interventie/bedrijfsmaatschappelijk-werk/ ",Inzet bedrijfsmaatschappelijk werk
"De werkweek moet worden aangepast zodat deze niet te
zwaar is voor mijn zieke werknemer.",Arbeidsvoorwaarden,https://www.evi360.nl/product/vroegconsult-arbeidsdeskundige/,Vroegconsult Arbeidsdeskundige
Welke  re-integratiemogelijkheden heeft mijn werknemer in mijn bedrijf,Arbeidsinhoud,"https://www.evi360.nl/product/arbeidsdeskundige-spooronderzoek/ ",Arbeidsdeskundig Onderzoek 1e spoor
"Het gaat slecht met mijn werknemer, hoe krijgt hij gericht advies om te voorkomen dat hij uitvalt?",Preventie,"https://www.evi360.nl/product/epmo/ ",Preventief onderzoek hoe het gaat met de inzetbaarheid van de werknemer.
Is de (thuis)werkplek van mijn werknemer passend?,Preventie,"https://vitaalondernemen.interventieaanvragen.nl/interventie/werkplekonderzoek/ ",Werkplekonderzoek op locatie
"Mijn werknemer is verslaafd (gokken, drugs, drank)",Preventie,"https://vitaalondernemen.interventieaanvragen.nl/interventie/verslavingsproblematiek ",Verslavingszorg interventie
Mijn werknemer heeft wellicht begeleiding nodig bij zowel zijn psychische als fysieke klachten,Verbetering belastbaarheid,"https://vitaalondernemen.interventieaanvragen.nl/interventie/multidisciplinair-traject/ ",Multidisciplinaire intake t.b.v. een behandelplan.
"De werkplek van mijn zieke werknemer moet worden
aangepast zodat het werk weer passend is.",Arbeidsomstandigheden,"https://www.evi360.nl/product/vroegconsult-arbeidsdeskundige/ ",Werkplekonderzoek op locatie
"De combinatie werk en privé is  te zwaar (mantelzorg, gevolgen van gezinsuitbreiding)",Sociale omstandigheden,"https://vitaalondernemen.interventieaanvragen.nl/interventie/bedrijfsmaatschappeliik-werk/ ",Inzet bedrijfsmaatschappelijk werk
Mijn werknemer heeft psychische klachten,Verbetering belastbaarheid,"https://vitaalondernemen.interventieaanvragen.nl/interventie/triagepsychologischebelastbaarheid/ ",Vroegconsult arbeidspsycholoog
Mijn zieke werknemer heeft ook coaching nodig (bijvoorbeeld voor terugvalpreventie),Arbeidsinhoud,https://vitaalondernemen.interventieaanvragen.nl/interventie/coaching/,"Opstellen coachingsplan
(Vgl. coachen naar een adequate coping- of communicatiestijl)"
Mijn werknemer heeft fysieke klachten,Verbetering belastbaarheid,"https://vitaalondernemen.interventieaanvragen.nl/interventie/vroegconsultfysiotherapeut/ ",Vroegconsult arbeidsfysiotherapeut
Mijn werknemer heeft een gewichtsprobleem,Preventie,"https://vitaalondernemen.interventieaanvragen.nl/interventie/gewichtsconsultatie/ ",Inzet gewichtsconsulent
Mijn werknemer heeft begeleiding nodig bij zijn burnout,Verbetering belastbaarheid,"https://vitaalondernemen.interventieaanvragen.nl/interventie/multidisciplinaire-burnout-aanpak/ ",Multidisciplinaire burnout aanpak
Mijn werknemer wil ander werk,Vitaliteit & Loopbaan,"https://vitaalondernemen.interventieaanvragen.nl/interventie/loopbaanbegeleiding/ ",Loopbaanbegeleiding
Mijn werknemer heeft zware overgangsklachten,Preventie,"https://vitaalondernemen.interventieaanvragen.nl/interventie/overgangsconsultatie/ ",Overgangsconsultatie
Mijn werknemer heeft financiële problemen die hem belasten,Preventie,"https://vitaalondernemen.interventieaanvragen.nl/interventie/hulo-financiele-problemen/ ",Eerste hulp bij financiële problemen
Mijn werknemer is niet gemotiveerd,Vitaliteit & Loopbaan,"https://www.evi360.nl/product/advies-gesprek-po-adviseur/ ",Gesprek leidinggevende en werknemer of als dat lastig is bijstand van een P&O Adviseur
Mijn werknemer hanteert een ongezonde levensstijl,Vitaliteit & Loopbaan,"https://vitaalondernemen.interventieaanvragen.nl/interventie/leefstijlprogrammas/ ",Inzet van een leefstijlcoach
Mijn werknemer is niet competent,Vitaliteit & Loopbaan,hhttps://portal.amplio360.nl/products/24,Gesprek leidinggevende en werknemer en / of begeleiding van een loopbaancoach